Node,Degree Centrality,Page Rank,Betweenness Centrality,Closeness Centrality
11358972,1,0.5235272275,0,0.1380176159
11382652,1,0.5235171686,0,0.1455806621
11383102,1,0.5252243692,0,0.1353659728
11392102,1,0.5226839739,0,0.1469147063
11403462,1,0.5171776873,0,0.1522833711
11420922,1,0.5276935202,0,0.09847860088
11499802,1,0.5148774809,0,0.1599021102
11547582,1,0.5055314052,0,0.1778268461
11567702,1,0.5294180931,0,0.502283105
11570662,1,0.5171776873,0,0.1522833711
11579212,1,0.5055314052,0,0.1778268461
11607542,1,0.5216771254,0,0.155211438
11612812,1,0.5230694623,0,0.1429308459
11622712,1,0.5038939136,0,0.1448590312
11673662,2,0.8934029192,657476.2587,0.1610810057
11699902,1,0.5230694623,0,0.1429308459
11715042,1,0.4978456854,0,0.1623382711
11736872,1,0.5235171686,0,0.1455806621
11742432,1,0.5227816702,0,0.1261084103
11781992,1,0.5235171686,0,0.1455806621
11808492,1,0.5230694623,0,0.1429308459
11818292,1,0.5235171686,0,0.1455806621
11825142,1,0.526522584,0,0.1135800849
11863002,1,0.5185264626,0,0.1583882181
11868322,1,0.5242486101,0,0.1446684073
11881302,1,0.5101711708,0,0.1762071948
11891542,1,0.5171776873,0,0.1522833711
11927502,1,0.4947251151,0,0.1553750897
11932592,1,0.5242486101,0,0.1446684073
11945042,1,0.5216771254,0,0.155211438
11947342,1,0.5254692297,0,0.1340222145
11965142,1,0.5216771254,0,0.155211438
11979692,1,0.5218349112,0,0.1628842219
11991832,1,0.5097917994,0,0.1502842512
12006852,1,0.5252243692,0,0.1353659728
12007872,2,0.8540267409,82741.29852,0.1577353162
12008602,1,0.5116198477,0,0.1691165698
12019222,1,0.5185264626,0,0.1583882181
12067732,1,0.5065079473,0,0.1698631481
12078212,1,0.5112857449,0,0.1621254682
12090922,1,0.5221488617,0,0.1485118792
12112272,1,0.4921246501,0,0.1590867328
12123572,1,0.5216771254,0,0.155211438
12144232,2,0.8458636863,943795.198,0.1894264694
12144942,1,0.5171776873,0,0.1522833711
12146652,1,0.4976999828,0,0.1615770442
12173472,1,0.5216771254,0,0.155211438
12179862,1,0.5242486101,0,0.1446684073
12195882,1,0.5188341625,0,0.157387629
12197662,1,0.5235171686,0,0.1455806621
12289162,1,0.5235171686,0,0.1455806621
12293232,1,0.5226839739,0,0.1469147063
12302892,1,0.5282334861,0,0.501607717
12304722,1,0.5218349112,0,0.1628842219
12331792,1,0.5235171686,0,0.1455806621
12334752,1,0.5235171686,0,0.1455806621
12345362,1,0.5235272275,0,0.1380176159
12359572,1,0.5230694623,0,0.1429308459
12397052,1,0.5180188538,0,0.1562408356
12397992,1,0.5338318903,0,0.1066210995
12413032,1,0.5252243692,0,0.1353659728
12421062,1,0.5226839739,0,0.1469147063
12462422,1,0.5252243692,0,0.1353659728
12521542,1,0.5227816702,0,0.1261084103
12534082,1,0.5148774809,0,0.1599021102
12566322,2,0.8738775237,173007.9079,0.1783350928
12576272,1,0.5252243692,0,0.1353659728
12598292,1,0.5252243692,0,0.1353659728
12611642,1,0.5065079473,0,0.1698631481
12684662,1,0.5185264626,0,0.1583882181
12689272,1,0.5242486101,0,0.1446684073
12691912,1,0.4991303222,0,0.1768460831
12729052,1,0.5171776873,0,0.1522833711
12748572,1,0.5230694623,0,0.1429308459
12833212,1,0.5235171686,0,0.1455806621
12847482,1,0.5230694623,0,0.1429308459
12849302,224,98.63145361,3224372.812,0.1691351543
12865902,1,0.5216771254,0,0.155211438
12886922,1,0.5148774809,0,0.1599021102
12913712,1,0.5183009249,0,0.161985172
12915562,1,0.5252243692,0,0.1353659728
12923812,1,0.5235171686,0,0.1455806621
12947032,1,0.5304219956,0,0.5028571429
12968482,1,0.5230694623,0,0.1429308459
12985752,1,0.526995943,0,0.1377266942
12988112,1,0.5156593974,0,0.1463280656
